algo,M,N,K,ms,gflops,valid
vectorized 32x8,256,256,256,0.15872,211.406,yes
vec-opt 64x64,256,256,256,0.121856,275.361,yes
tensorcore wmma16,256,256,256,0.147456,227.556,yes
naive 16x16,512,512,512,0.111616,2404.99,yes
shared 32x8 tk32,512,512,512,0.130048,2064.13,yes
vectorized 32x8,512,512,512,0.1536,1747.63,yes
vec-opt 64x64,512,512,512,0.031744,8456.26,yes
tensorcore wmma16,512,512,512,0.084992,3158.36,yes
naive 16x16,1024,1024,1024,0.80384,2671.53,yes
shared 32x8 tk32,1024,1024,1024,0.93184,2304.56,yes
vectorized 32x8,1024,1024,1024,0.879616,2441.39,yes
vec-opt 64x64,1024,1024,1024,0.145408,14768.7,yes
tensorcore wmma16,1024,1024,1024,0.442336,4854.87,yes
naive 16x16,2048,2048,2048,6.64883,2583.89,yes
shared 32x8 tk32,2048,2048,2048,7.48237,2296.05,yes
vectorized 32x8,2048,2048,2048,6.93146,2478.54,yes
vec-opt 64x64,2048,2048,2048,1.03949,16527.2,yes
tensorcore wmma16,2048,2048,2048,3.21229,5348.17,yes
naive 16x16,4096,4096,4096,53.4622,2570.77,yes
shared 32x8 tk32,4096,4096,4096,56.7808,2420.52,yes
vectorized 32x8,4096,4096,4096,53.0668,2589.93,yes
vec-opt 64x64,4096,4096,4096,7.91347,17367.7,yes
tensorcore wmma16,4096,4096,4096,31.0456,4427,yes
naive 16x16,256,256,256,0.470016,71.39,yes
shared 32x8 tk32,256,256,256,0.57072,58.7932,yes
vectorized 32x8,256,256,256,0.402432,83.3791,yes
vec-opt 64x64,256,256,256,0.375776,89.2937,yes
tensorcore wmma16,256,256,256,0.65536,51.2,yes
naive 16x16,512,512,512,0.142336,1885.93,yes
shared 32x8 tk32,512,512,512,0.442368,606.815,yes
vectorized 32x8,512,512,512,0.2048,1310.72,yes
vec-opt 64x64,512,512,512,0.031744,8456.26,yes
tensorcore wmma16,512,512,512,0.114592,2342.53,yes
naive 16x16,1024,1024,1024,0.8048,2668.34,yes
shared 32x8 tk32,1024,1024,1024,1.1561,1857.53,yes
vectorized 32x8,1024,1024,1024,0.87552,2452.81,yes
vec-opt 64x64,1024,1024,1024,0.169984,12633.4,yes
tensorcore wmma16,1024,1024,1024,0.447488,4798.97,yes
naive 16x16,2048,2048,2048,6.46758,2656.3,yes
shared 32x8 tk32,2048,2048,2048,7.87843,2180.62,yes
vectorized 32x8,2048,2048,2048,6.96208,2467.63,yes
vec-opt 64x64,2048,2048,2048,1.04346,16464.4,yes
tensorcore wmma16,2048,2048,2048,3.75091,4580.18,yes
naive 16x16,4096,4096,4096,52.565,2614.65,yes
shared 32x8 tk32,4096,4096,4096,60.3679,2276.69,yes
vectorized 32x8,4096,4096,4096,51.0658,2691.41,yes
vec-opt 64x64,4096,4096,4096,7.76499,17699.8,yes
tensorcore wmma16,4096,4096,4096,32.128,4277.86,yes
naive 16x16,256,256,256,0.500736,67.0102,yes
shared 32x8 tk32,256,256,256,0.303104,110.703,yes
vectorized 32x8,256,256,256,0.320512,104.69,yes
vec-opt 64x64,256,256,256,0.282624,118.725,yes
tensorcore wmma16,256,256,256,0.495616,67.7025,yes
naive 16x16,512,512,512,0.151552,1771.24,yes
shared 32x8 tk32,512,512,512,0.137344,1954.48,yes
vectorized 32x8,512,512,512,0.182272,1472.72,yes
vec-opt 64x64,512,512,512,0.070848,3788.89,yes
tensorcore wmma16,512,512,512,0.237568,1129.93,yes
naive 16x16,1024,1024,1024,0.758784,2830.16,yes
shared 32x8 tk32,1024,1024,1024,0.877568,2447.09,yes
vectorized 32x8,1024,1024,1024,0.9728,2207.53,yes
vec-opt 64x64,1024,1024,1024,0.169984,12633.4,yes
tensorcore wmma16,1024,1024,1024,0.828416,2592.28,yes
naive 16x16,2048,2048,2048,5.87878,2922.35,yes
shared 32x8 tk32,2048,2048,2048,7.55213,2274.84,yes
vectorized 32x8,2048,2048,2048,6.53853,2627.48,yes
vec-opt 64x64,2048,2048,2048,0.98608,17422.4,yes
tensorcore wmma16,2048,2048,2048,3.71098,4629.47,yes
naive 16x16,4096,4096,4096,50.5557,2718.56,yes
shared 32x8 tk32,4096,4096,4096,57.172,2403.96,yes
vectorized 32x8,4096,4096,4096,52.8957,2598.3,yes
vec-opt 64x64,4096,4096,4096,7.74144,17753.7,yes
tensorcore wmma16,4096,4096,4096,31.0016,4433.29,yes
naive 16x16,256,256,256,0.075776,442.811,yes
shared 32x8 tk32,256,256,256,0.112224,298.995,yes
vectorized 32x8,256,256,256,0.12288,273.067,yes
vec-opt 64x64,256,256,256,0.108544,309.132,yes
tensorcore wmma16,256,256,256,0.126976,264.258,yes
naive 16x16,512,512,512,0.109664,2447.8,yes
shared 32x8 tk32,512,512,512,0.13312,2016.49,yes
vectorized 32x8,512,512,512,0.157696,1702.23,yes
vec-opt 64x64,512,512,512,0.044032,6096.37,yes
tensorcore wmma16,512,512,512,0.080896,3318.28,yes
naive 16x16,1024,1024,1024,0.799744,2685.21,yes
shared 32x8 tk32,1024,1024,1024,0.930816,2307.1,yes
vectorized 32x8,1024,1024,1024,0.869376,2470.14,yes
vec-opt 64x64,1024,1024,1024,0.152576,14074.8,yes
tensorcore wmma16,1024,1024,1024,0.452704,4743.68,yes
naive 16x16,2048,2048,2048,6.73075,2552.44,yes
shared 32x8 tk32,2048,2048,2048,7.70662,2229.23,yes
vectorized 32x8,2048,2048,2048,6.93248,2478.17,yes
vec-opt 64x64,2048,2048,2048,1.04134,16497.8,yes
tensorcore wmma16,2048,2048,2048,4.81792,3565.83,yes
naive 16x16,4096,4096,4096,52.2772,2629.04,yes
shared 32x8 tk32,4096,4096,4096,58.1325,2364.24,yes
vectorized 32x8,4096,4096,4096,51.3125,2678.47,yes
vec-opt 64x64,4096,4096,4096,7.4935,18341.1,yes
tensorcore wmma16,4096,4096,4096,30.2213,4547.75,yes
naive 16x16,256,256,256,0.141312,237.449,yes
shared 32x8 tk32,256,256,256,0.108544,309.132,yes
vectorized 32x8,256,256,256,0.069632,481.882,yes
vec-opt 64x64,256,256,256,0.120832,277.695,yes
tensorcore wmma16,256,256,256,0.160768,208.713,yes
naive 16x16,512,512,512,0.110592,2427.26,yes
shared 32x8 tk32,512,512,512,0.133792,2006.36,yes
vectorized 32x8,512,512,512,0.160768,1669.71,yes
vec-opt 64x64,512,512,512,0.03856,6961.5,yes
tensorcore wmma16,512,512,512,0.087776,3058.19,yes
naive 16x16,1024,1024,1024,0.804864,2668.13,yes
shared 32x8 tk32,1024,1024,1024,0.933984,2299.27,yes
vectorized 32x8,1024,1024,1024,0.874496,2455.68,yes
vec-opt 64x64,1024,1024,1024,0.152576,14074.8,yes
tensorcore wmma16,1024,1024,1024,0.451584,4755.45,yes
naive 16x16,2048,2048,2048,6.44608,2665.17,yes
shared 32x8 tk32,2048,2048,2048,7.69024,2233.98,yes
vectorized 32x8,2048,2048,2048,6.67034,2575.56,yes
vec-opt 64x64,2048,2048,2048,1.04346,16464.4,yes
tensorcore wmma16,2048,2048,2048,3.64646,4711.38,yes
naive 16x16,4096,4096,4096,50.7771,2706.71,yes
shared 32x8 tk32,4096,4096,4096,58.3997,2353.42,yes
vectorized 32x8,4096,4096,4096,52.7195,2606.98,yes
vec-opt 64x64,4096,4096,4096,7.95034,17287.2,yes
tensorcore wmma16,4096,4096,4096,30.5644,4496.71,yes
naive 16x16,256,256,256,0.414432,80.9649,yes
shared 32x8 tk32,256,256,256,648.713,0.0517246,yes
vectorized 32x8,256,256,256,0.435968,76.9654,yes
vec-opt 64x64,256,256,256,0.377856,88.8022,yes
tensorcore wmma16,256,256,256,0.343008,97.824,yes
naive 16x16,512,512,512,0.111616,2404.99,yes
shared 32x8 tk32,512,512,512,270.977,0.990621,yes
vectorized 32x8,512,512,512,0.193728,1385.63,yes
vec-opt 64x64,512,512,512,0.069792,3846.22,yes
tensorcore wmma16,512,512,512,0.115712,2319.86,yes
naive 16x16,1024,1024,1024,0.799744,2685.21,yes
shared 32x8 tk32,1024,1024,1024,713.617,3.00929,yes
vectorized 32x8,1024,1024,1024,0.856768,2506.49,yes
vec-opt 64x64,1024,1024,1024,0.15872,13530,yes
tensorcore wmma16,1024,1024,1024,0.45056,4766.25,yes
naive 16x16,2048,2048,2048,6.11315,2810.31,yes
shared 32x8 tk32,2048,2048,2048,4099.54,4.19068,yes
vectorized 32x8,2048,2048,2048,6.84339,2510.43,yes
vec-opt 64x64,2048,2048,2048,0.987136,17403.8,yes
tensorcore wmma16,2048,2048,2048,3.71507,4624.37,yes
naive 16x16,4096,4096,4096,49.9118,2753.64,yes
shared 32x8 tk32,4096,4096,4096,30816,4.45998,yes
vectorized 32x8,4096,4096,4096,50.1299,2741.66,yes
vec-opt 64x64,4096,4096,4096,7.54278,18221.2,yes
tensorcore wmma16,4096,4096,4096,30.0319,4576.44,yes
naive 16x16,256,256,256,0.452512,74.1515,yes
shared 32x8 tk32,256,256,256,0.256,131.072,yes
vectorized 32x8,256,256,256,0.278528,120.471,yes
vec-opt 64x64,256,256,256,0.347136,96.6608,yes
tensorcore wmma16,256,256,256,674.411,0.0497537,yes
naive 16x16,512,512,512,0.144992,1851.38,yes
shared 32x8 tk32,512,512,512,0.144384,1859.18,yes
vectorized 32x8,512,512,512,0.170816,1571.49,yes
vec-opt 64x64,512,512,512,0.051008,5262.61,yes
tensorcore wmma16,512,512,512,234.16,1.14638,yes
naive 16x16,1024,1024,1024,0.804896,2668.03,yes
shared 32x8 tk32,1024,1024,1024,0.9328,2302.19,yes
vectorized 32x8,1024,1024,1024,1.10694,1940.01,yes
vec-opt 64x64,1024,1024,1024,0.169984,12633.4,yes
tensorcore wmma16,1024,1024,1024,391.87,5.48009,yes
naive 16x16,2048,2048,2048,6.13376,2800.87,yes
shared 32x8 tk32,2048,2048,2048,7.27347,2361.99,yes
vectorized 32x8,2048,2048,2048,6.3416,2709.07,yes
vec-opt 64x64,2048,2048,2048,0.986112,17421.8,yes
tensorcore wmma16,2048,2048,2048,1301.4,13.201,yes
naive 16x16,4096,4096,4096,47.652,2884.22,yes
shared 32x8 tk32,4096,4096,4096,55.294,2485.61,yes
vectorized 32x8,4096,4096,4096,49.5606,2773.15,yes
vec-opt 64x64,4096,4096,4096,7.77626,17674.2,yes
tensorcore wmma16,4096,4096,4096,8232.13,16.6954,yes
naive 16x16,256,256,256,0.083968,399.61,yes
shared 32x8 tk32,256,256,256,0.104224,321.945,yes
vectorized 32x8,256,256,256,0.086016,390.095,yes
vec-opt 64x64,256,256,256,0.180224,186.182,yes
tensorcore wmma16,256,256,256,0.139264,240.941,yes
naive 16x16,512,512,512,0.110592,2427.26,yes
shared 32x8 tk32,512,512,512,0.134112,2001.58,yes
vectorized 32x8,512,512,512,0.160768,1669.71,yes
vec-opt 64x64,512,512,512,0.03776,7108.99,yes
tensorcore wmma16,512,512,512,0.080896,3318.28,yes
naive 16x16,1024,1024,1024,0.804864,2668.13,yes
shared 32x8 tk32,1024,1024,1024,0.93184,2304.56,yes
vectorized 32x8,1024,1024,1024,0.877504,2447.26,yes
vec-opt 64x64,1024,1024,1024,0.1536,13981,yes
tensorcore wmma16,1024,1024,1024,0.448512,4788.02,yes
naive 16x16,2048,2048,2048,6.22179,2761.24,yes
shared 32x8 tk32,2048,2048,2048,7.2119,2382.15,yes
vectorized 32x8,2048,2048,2048,6.89254,2492.53,yes
vec-opt 64x64,2048,2048,2048,1.03936,16529.3,yes
tensorcore wmma16,2048,2048,2048,3.86765,4441.94,yes
naive 16x16,4096,4096,4096,50.774,2706.88,yes
shared 32x8 tk32,4096,4096,4096,56.5268,2431.39,yes
vectorized 32x8,4096,4096,4096,49.921,2753.13,yes
vec-opt 64x64,4096,4096,4096,7.49978,18325.7,yes
tensorcore wmma16,4096,4096,4096,29.403,4674.32,yes
naive 16x16,256,256,256,0.529408,63.381,yes
shared 32x8 tk32,256,256,256,654.896,0.0512363,yes
vectorized 32x8,256,256,256,0.352256,95.2558,yes
vec-opt 64x64,256,256,256,0.375808,89.2861,yes
tensorcore wmma16,256,256,256,0.33472,100.246,yes
naive 16x16,512,512,512,0.142336,1885.93,yes
shared 32x8 tk32,512,512,512,287.818,0.932658,yes
vectorized 32x8,512,512,512,0.193536,1387.01,yes
vec-opt 64x64,512,512,512,0.067584,3971.88,yes
tensorcore wmma16,512,512,512,0.106496,2520.62,yes
naive 16x16,1024,1024,1024,1.03117,2082.57,yes
shared 32x8 tk32,1024,1024,1024,686.596,3.12772,yes
vectorized 32x8,1024,1024,1024,0.856064,2508.55,yes
vec-opt 64x64,1024,1024,1024,0.144384,14873.4,yes
tensorcore wmma16,1024,1024,1024,0.436256,4922.53,yes
naive 16x16,2048,2048,2048,6.08768,2822.07,yes
shared 32x8 tk32,2048,2048,2048,4086.45,4.2041,yes
vectorized 32x8,2048,2048,2048,6.07232,2829.21,yes
vec-opt 64x64,2048,2048,2048,0.982016,17494.5,yes
tensorcore wmma16,2048,2048,2048,4.14413,4145.59,yes
naive 16x16,4096,4096,4096,49.3066,2787.43,yes
shared 32x8 tk32,4096,4096,4096,30724.1,4.47333,yes
vectorized 32x8,4096,4096,4096,50.1596,2740.03,yes
vec-opt 64x64,4096,4096,4096,7.5008,18323.2,yes
tensorcore wmma16,4096,4096,4096,30.2868,4537.91,yes
naive 16x16,256,256,256,0.520192,64.5039,yes
shared 32x8 tk32,256,256,256,0.376512,89.1192,yes
vectorized 32x8,256,256,256,0.340992,98.4024,yes
vec-opt 64x64,256,256,256,0.38912,86.2316,yes
tensorcore wmma16,256,256,256,665.156,0.050446,yes
naive 16x16,512,512,512,0.155296,1728.54,yes
shared 32x8 tk32,512,512,512,0.161792,1659.14,yes
vectorized 32x8,512,512,512,0.186368,1440.35,yes
vec-opt 64x64,512,512,512,0.055296,4854.52,yes
tensorcore wmma16,512,512,512,251.616,1.06684,yes
naive 16x16,1024,1024,1024,0.837312,2564.74,yes
shared 32x8 tk32,1024,1024,1024,0.966752,2221.34,yes
vectorized 32x8,1024,1024,1024,0.899072,2388.56,yes
vec-opt 64x64,1024,1024,1024,0.152576,14074.8,yes
tensorcore wmma16,1024,1024,1024,339.844,6.31903,yes
naive 16x16,2048,2048,2048,6.31802,2719.19,yes
shared 32x8 tk32,2048,2048,2048,7.04614,2438.19,yes
vectorized 32x8,2048,2048,2048,6.29955,2727.16,yes
vec-opt 64x64,2048,2048,2048,0.981248,17508.2,yes
tensorcore wmma16,2048,2048,2048,1214.32,14.1477,yes
naive 16x16,4096,4096,4096,48.682,2823.2,yes
shared 32x8 tk32,4096,4096,4096,55.0461,2496.8,yes
vectorized 32x8,4096,4096,4096,50.0104,2748.21,yes
vec-opt 64x64,4096,4096,4096,7.53152,18248.5,yes
tensorcore wmma16,4096,4096,4096,8101.88,16.9638,yes
naive 16x16,256,256,256,0.083968,399.61,yes
shared 32x8 tk32,256,256,256,0.127808,262.538,yes
vectorized 32x8,256,256,256,0.131872,254.447,yes
vec-opt 64x64,256,256,256,0.118784,282.483,yes
tensorcore wmma16,256,256,256,0.087232,384.657,yes
naive 16x16,512,512,512,0.11776,2279.51,yes
shared 32x8 tk32,512,512,512,0.131072,2048,yes
vectorized 32x8,512,512,512,0.152576,1759.36,yes
vec-opt 64x64,512,512,512,0.031744,8456.26,yes
tensorcore wmma16,512,512,512,0.018432,14563.6,yes
naive 16x16,1024,1024,1024,0.805888,2664.74,yes
shared 32x8 tk32,1024,1024,1024,1.20525,1781.78,yes
vectorized 32x8,1024,1024,1024,0.878592,2444.23,yes
vec-opt 64x64,1024,1024,1024,0.145472,14762.2,yes
tensorcore wmma16,1024,1024,1024,0.136192,15768.1,yes
naive 16x16,2048,2048,2048,6.46861,2655.88,yes
shared 32x8 tk32,2048,2048,2048,7.70867,2228.64,yes
vectorized 32x8,2048,2048,2048,6.73178,2552.06,yes
vec-opt 64x64,2048,2048,2048,1.26976,13530,yes
tensorcore wmma16,2048,2048,2048,1.17248,14652.6,yes
naive 16x16,4096,4096,4096,50.8723,2701.65,yes
shared 32x8 tk32,4096,4096,4096,58.75,2339.39,yes
vectorized 32x8,4096,4096,4096,52.9039,2597.9,yes
vec-opt 64x64,4096,4096,4096,8.20019,16760.5,yes
tensorcore wmma16,4096,4096,4096,10.8739,12639.4,yes
naive 16x16,256,256,256,0.44032,76.2047,yes
shared 32x8 tk32,256,256,256,660.031,0.0508376,yes
vectorized 32x8,256,256,256,0.400224,83.8391,yes
vec-opt 64x64,256,256,256,0.309248,108.503,yes
tensorcore wmma16,256,256,256,0.289888,115.75,yes
naive 16x16,512,512,512,0.130048,2064.13,yes
shared 32x8 tk32,512,512,512,275.641,0.973858,yes
vectorized 32x8,512,512,512,0.1536,1747.63,yes
vec-opt 64x64,512,512,512,0.068448,3921.74,yes
tensorcore wmma16,512,512,512,0.054272,4946.11,yes
naive 16x16,1024,1024,1024,0.802816,2674.94,yes
shared 32x8 tk32,1024,1024,1024,698.066,3.07633,yes
vectorized 32x8,1024,1024,1024,0.859136,2499.59,yes
vec-opt 64x64,1024,1024,1024,0.156672,13706.9,yes
tensorcore wmma16,1024,1024,1024,0.13824,15534.5,yes
naive 16x16,2048,2048,2048,6.06947,2830.54,yes
shared 32x8 tk32,2048,2048,2048,4075.85,4.21503,yes
vectorized 32x8,2048,2048,2048,6.6007,2602.73,yes
vec-opt 64x64,2048,2048,2048,0.98304,17476.3,yes
tensorcore wmma16,2048,2048,2048,1.09158,15738.5,yes
naive 16x16,4096,4096,4096,48.6554,2824.74,yes
shared 32x8 tk32,4096,4096,4096,31072.8,4.42313,yes
vectorized 32x8,4096,4096,4096,50.0163,2747.89,yes
vec-opt 64x64,4096,4096,4096,7.72403,17793.7,yes
tensorcore wmma16,4096,4096,4096,10.7971,12729.3,yes
naive 16x16,256,256,256,0.43072,77.9031,yes
shared 32x8 tk32,256,256,256,0.308224,108.864,yes
vectorized 32x8,256,256,256,0.333824,100.515,yes
vec-opt 64x64,256,256,256,0.324608,103.369,yes
tensorcore wmma16,256,256,256,628.837,0.0533595,yes
naive 16x16,512,512,512,0.111616,2404.99,yes
shared 32x8 tk32,512,512,512,0.149344,1797.43,yes
vectorized 32x8,512,512,512,0.173056,1551.15,yes
vec-opt 64x64,512,512,512,0.054176,4954.88,yes
tensorcore wmma16,512,512,512,216.905,1.23757,yes
naive 16x16,1024,1024,1024,0.825344,2601.93,yes
shared 32x8 tk32,1024,1024,1024,0.946176,2269.65,yes
vectorized 32x8,1024,1024,1024,1.12218,1913.68,yes
vec-opt 64x64,1024,1024,1024,0.150528,14266.3,yes
tensorcore wmma16,1024,1024,1024,212.771,10.0929,yes
naive 16x16,2048,2048,2048,6.53226,2630.01,yes
shared 32x8 tk32,2048,2048,2048,7.71174,2227.75,yes
vectorized 32x8,2048,2048,2048,6.7072,2561.41,yes
vec-opt 64x64,2048,2048,2048,1.03834,16545.6,yes
tensorcore wmma16,2048,2048,2048,394.857,43.509,yes
naive 16x16,4096,4096,4096,48.341,2843.11,yes
shared 32x8 tk32,4096,4096,4096,56.8966,2415.59,yes
vectorized 32x8,4096,4096,4096,49.1438,2796.67,yes
vec-opt 64x64,4096,4096,4096,7.52742,18258.4,yes
tensorcore wmma16,4096,4096,4096,1594.68,86.1858,yes
naive 16x16,256,256,256,0.099328,337.814,yes
shared 32x8 tk32,256,256,256,0.118752,282.559,yes
vectorized 32x8,256,256,256,0.160768,208.713,yes
vec-opt 64x64,256,256,256,0.125024,268.384,yes
tensorcore wmma16,256,256,256,0.089088,376.644,yes
naive 16x16,512,512,512,0.11776,2279.51,yes
shared 32x8 tk32,512,512,512,0.134144,2001.1,yes
vectorized 32x8,512,512,512,0.159744,1680.41,yes
vec-opt 64x64,512,512,512,0.039936,6721.64,yes
tensorcore wmma16,512,512,512,0.017184,15621.2,yes
naive 16x16,1024,1024,1024,1.05062,2044.01,yes
shared 32x8 tk32,1024,1024,1024,0.931648,2305.04,yes
vectorized 32x8,1024,1024,1024,1.12742,1904.77,yes
vec-opt 64x64,1024,1024,1024,0.152736,14060.1,yes
tensorcore wmma16,1024,1024,1024,0.128064,16768.8,yes
naive 16x16,2048,2048,2048,6.47373,2653.78,yes
shared 32x8 tk32,2048,2048,2048,7.49158,2293.22,yes
vectorized 32x8,2048,2048,2048,6.71334,2559.06,yes
vec-opt 64x64,2048,2048,2048,1.04141,16496.8,yes
tensorcore wmma16,2048,2048,2048,1.17248,14652.6,yes
naive 16x16,4096,4096,4096,50.5405,2719.38,yes
shared 32x8 tk32,4096,4096,4096,56.0517,2452,yes
vectorized 32x8,4096,4096,4096,49.7213,2764.18,yes
vec-opt 64x64,4096,4096,4096,7.49773,18330.7,yes
tensorcore wmma16,4096,4096,4096,10.838,12681.2,yes
naive 16x16,256,256,256,0.145408,230.761,yes
shared 32x8 tk32,256,256,256,0.11264,297.891,yes
vectorized 32x8,256,256,256,0.596992,56.2058,yes
vec-opt 64x64,256,256,256,0.068608,489.075,yes
tensorcore wmma16,256,256,256,0.093184,360.088,yes
naive 16x16,512,512,512,0.12288,2184.53,yes
shared 32x8 tk32,512,512,512,0.13408,2002.05,yes
vectorized 32x8,512,512,512,0.156416,1716.16,yes
vec-opt 64x64,512,512,512,0.03584,7489.83,yes
tensorcore wmma16,512,512,512,0.018432,14563.6,yes
naive 16x16,1024,1024,1024,0.80384,2671.53,yes
shared 32x8 tk32,1024,1024,1024,0.93184,2304.56,yes
vectorized 32x8,1024,1024,1024,1.16531,1842.84,yes
vec-opt 64x64,1024,1024,1024,0.15264,14068.9,yes
tensorcore wmma16,1024,1024,1024,0.134144,16008.8,yes
naive 16x16,2048,2048,2048,6.9591,2468.69,yes
shared 32x8 tk32,2048,2048,2048,9.24445,1858.4,yes
vectorized 32x8,2048,2048,2048,6.6816,2571.22,yes
vec-opt 64x64,2048,2048,2048,1.03834,16545.6,yes
tensorcore wmma16,2048,2048,2048,1.16925,14693.1,yes
naive 16x16,4096,4096,4096,59.3377,2316.22,yes
shared 32x8 tk32,4096,4096,4096,67.4807,2036.71,yes
vectorized 32x8,4096,4096,4096,59.1401,2323.96,yes
vec-opt 64x64,4096,4096,4096,9.13715,15041.8,yes
tensorcore wmma16,4096,4096,4096,12.5143,10982.5,yes
naive 16x16,256,256,256,0.141312,237.449,yes
shared 32x8 tk32,256,256,256,0.111616,300.624,yes
vectorized 32x8,256,256,256,0.136192,246.376,yes
vec-opt 64x64,256,256,256,0.15872,211.406,yes
tensorcore wmma16,256,256,256,0.096224,348.712,yes
naive 16x16,512,512,512,0.110592,2427.26,yes
shared 32x8 tk32,512,512,512,0.132096,2032.12,yes
vectorized 32x8,512,512,512,0.15872,1691.25,yes
vec-opt 64x64,512,512,512,0.038912,6898.53,yes
tensorcore wmma16,512,512,512,0.021504,12483,yes
naive 16x16,1024,1024,1024,0.804864,2668.13,yes
shared 32x8 tk32,1024,1024,1024,0.93184,2304.56,yes
vectorized 32x8,1024,1024,1024,1.14586,1874.13,yes
vec-opt 64x64,1024,1024,1024,0.145408,14768.7,yes
tensorcore wmma16,1024,1024,1024,0.132032,16264.9,yes
naive 16x16,2048,2048,2048,7.552,2274.88,yes
